Üretici,Kök_Neden_TR,Çözüm_TR
FCCC,"Daimler Trucks North America LLC (DTNA), belirli 2017-2019 Freightliner 114SD, 122SD, 108SD, Cascadia ve Business class M2 kamyonlarını, Freightliner Custom Chassis XBS, XCL, XCM, MT45, MT55, S2G, S2RV, XCR ve XCS özel şasilerini ve Western Star 4700, 4900 ve 4900 kamyonlarını geri çağırıyor. Detroit Aks akslarıyla donatılmış 5700 kamyon.  Etkilenen araçların direksiyon ve rot kolu cıvataları gevşek olabilir.","DTNA, sahiplerine bilgi verdi ve bayiler, direksiyon kolu ve rot kolu cıvatalarının uygun şekilde sıkıldığından emin olmak için inceleyecek ve gerektiğinde yeni bağlantı elemanlarını ücretsiz olarak takacak.  Geri çağırma 9 Şubat 2019'da başladı. Araç sahipleri Daimler Trucks ile 1-800-547-0712 numaralı telefondan iletişime geçebilir. Bu geri çağırma için DTNA'nın numarası FL-802'dir."
BLUE BIRD,"Blue Bird Body Company (Blue Bird), 2009-2015 model yılına ait belirli model yıllarını geri çağırıyor 23 Haziran 2010 ile 24 Mayıs 2012 tarihleri ​​arasında üretilen ve belirli Cummins Westport Model ISL G sıkıştırılmış doğal gaz motorlarıyla donatılmış tüm Amerikan arkadan motorlu okul dışı otobüsler.  Emme manifoldundaki yoğuşma, soğuk hava koşullarında donabilir ve emme manifoldu basınç sensörünün düzgün çalışmasına engel olabilir.",Cummins ve Cummins Westport sahiplerine bilgi verdi ve yetkili Cummins servis tesisleri ücretsiz olarak yeni bir ECM kalibrasyonu yükleyecek.  Geri çağırma 12 Nisan 2014'te başladı. Müşteriler Blue Bird ile 1-478-822-2242 numaralı telefondan veya Cummins Inc. ile 1-800-343-7357 numaralı telefondan iletişime geçebilir.  Bu geri çağırma için Blue Bird'ün numarası R14XB'dir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
UNIMOG,"DAIMLER TRUCKS, 2002-2006 YILINDA BELİRLİ MODEL UNIMOG U500NA TİP 405.210 VE 405.230 KAMYONLARI GERİ ÇEKİYOR.  ENİNE KONTROL KOLU GÖZLERİNİ KONTROL KOLU BORUSUNA BAĞLAYAN BİR KAYNAK ŞARTNAMEYE UYGUN OLMAYABİLİR, AĞIR SÜRÜŞ KOŞULLARI ALTINDA GÖZÜN UYARI OLMADAN BORUDAN AYRILMASINA İZİN VEREBİLİR.","BAYİLER, ÖN VE ARKA SÜSPANSİYON ÇAPRAZ KUMANDA KOLLARINI KONTROL EDECEK VE HATALI KAYNAKLI ÇAPRAZ KUMANDA KOLLARI ÜCRETSİZ DEĞİŞTİRİLECEKTİR.  GÜVENLİK GERİ ÇAĞIRMASI 2 HAZİRAN 2010'DA BAŞLADI. SAHİPLER DAIMLER TRUCKS'LA 1-800-547-0712 numaralı telefondan iletişime geçebilirler."
DIAMOND COACH,"BAZI TRANSİT OTOBÜSLER FEDERAL MOTORLU TAŞIT GÜVENLİK STANDARDI NO. 217, ""OTOBÜS ACİL ÇIKIŞLARI VE CAMLARIN TUTULMASI VE AÇILMASI.""  BAZI OTURMA DÜZENLEMELERİ NEDENİYLE ACİL ÇIKIŞ PENCERELERİNDEKİ ACİL ÇIKIŞ ETİKETLERİ YANLIŞ KONUMDA YER ALDI.","SAHİPLERİNE ETİKETLER VE MONTAJ TALİMATLARI VERİLECEKTİR.  SAHİP BİLDİRİMİNİN KASIM 2002 AYINDA BAŞLAMASI BEKLENMEKTEDİR. ÜCRETSİZ ETİKETLERİ VE TALİMATLARI MAKUL BİR SÜRE İÇİNDE ALMAYAN SAHİPLER, 1-800-241-8678, UZATMA 13 numaralı telefondan DIAMOND COACH'LA İLETİŞİME GEÇMELİDİR."
BUGATTI,"Bugatti, 10 Mart 2006 ile 17 Ocak 2010 arasında üretilen belirli 2006-2010 model yılı Veyron araçlarını ve 29 Eylül 2009 ile 30 Haziran 2010 arasında üretilen 2010-2011 Veyron Grand Sport araçlarını geri çağırıyor. Etkilenen araçlarda, yakıt deposu göstergesi, depoda gerçekte olduğundan daha fazla yakıt bulunduğunu gösterebilir.",Bugatti sahiplerini bilgilendirecek ve bayiler yakıt deposu kontrol ünitesini değiştirecek ve yazılımı ücretsiz olarak yükseltecek.  Geri çağırma 23 Mayıs 2016'da başladı. Araç sahipleri 1-805-557-1050 numaralı telefondan Bugatti ile iletişime geçebilir.
ABS REMORQUES,"ABS Remorques (ABS), 2014-2023 model RC, WC, LRC ve LWC yarı römorklarını geri çağırıyor.  Bağlantı plakası bozulabilir ve bu da kral piminin ve römorkun ayrılmasına yol açabilir.","Yarı römork sahiplerinin, çalıştırmadan önce bağlantı plakasında veya kral piminde hasar olup olmadığını kontrol etmeleri tavsiye edilir.  Hasar tespit edilirse, römork onarılana kadar araç sahipleri römorku çalıştırmamalıdır.  ABS yetkili servisleri bağlantı plakalarını ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 2 Mart 2023'te gönderildi. Sahipler 819-879-6216 numaralı telefondan ABS müşteri hizmetleriyle iletişime geçebilir."
FORD,"ARAÇ AÇIKLAMASI : ABD POSTA SERVİSİ SÖKÜLMÜŞ ŞASİ.    SOL VE SAĞ ÇERÇEVE RAYI ÜZERİNDE BULUNAN SÜSPANSİYON MONTAJ BRAKETLERİNİN BAĞLANTI PARÇALARI, YANLIŞ TAKILMIŞ OLUP, GEVŞEK VEYA EKSİK BAĞLANTI PARÇALARINA NEDEN OLABİLİR.",BAYİLER HERHANGİ BİR EKSİK VEYA HASARLI MONTAJ BRAKETİ CİVATALARINI KONTROL EDECEK VE ŞARTNAMELERE GÖRE SIKILACAKTIR.   HASARLI PARÇALAR DEĞİŞTİRİLECEK VE BAĞLANTI ELEMANLARI DÜZGÜN OLARAK SIKILACAKTIR.  ARAÇ SAHİBİNİN BİLDİRİMİ 20 KASIM 2001'DE BAŞLADI. ARAÇLARINI ANLAŞILMIŞ BİR SERVİS TARİHİNDE YETKİLİ BİR BAYİYE GÖTÜREN VE MAKUL BİR SÜRE İÇİNDE ÜCRETSİZ ÇÖZÜM ALMAYAN SAHİPLERİN 1-866-436-7332 numaralı telefondan FORD'LA İLETİŞİME GEÇMESİ GEREKİR.
MITSUBISHI,"MITSUBISHI, CONNECTICUT, DELAWARE, ILLINOIS, INDIANA, IOWA, KENTUCKY, MAINE, MARYLAND, MASSACHUSETTS, MICHIGAN, MINNESOTA EYALETLERİNDE ORİJİNAL SATILAN VEYA ŞU ANDA KAYITLI OLAN 2004-2010 YILI BELİRLİ MODEL ENDEAVOR ARAÇLARINI HATIRLIYOR MISSOURI, NEW HAMPSHIRE, NEW JERSEY, NEW YORK, OHIO, PENNSYLVANIA, RHODE ISLAND, VERMONT, VIRGINIA, WEST VIRGINIA, WISCONSIN VE WASHINGTON D.C. SOĞUK DEVLETLER KUZEY DAKOTA, GÜNEY DAKOTA, NEBRASKA, KANSAS, OKLAHOMA, COLORADO, WYOMING, MONTANA, IDAHO, WASHINGTON, OREGON VE UTAH. BİTİŞİ DEVLETLER ARKANSAS, TENNESSEE VE KUZEY KAROLİNA'YI İÇERMEKTEDİR.    KIŞ TUZLARININ SIK KULLANILDIĞI AĞIR AŞINDIRICI ORTAMLARDA ARAÇLAR, YOL TUZU İLE KARIŞMIŞ YOL DÖKÜNTÜSÜNE (ÇAMUR) MARUZ KALABİLİR. BU MALZEME GÜÇLENDİRİCİ BİR BRAKET İLE YAKIT DOLUM BORUSU ARASINDA SIKIŞABİLİR VE OLASI OLARAK PASLANMAYA NEDEN OLABİLİR. ZAMANLA PASLANMA, YAKIT DOLUM BORUSUNDA SIZINTI YARATABİLİR VE ARACA YAKIT DOLDURURKEN YAKIT SIZINTISINA NEDEN OLABİLİR.",BAYİLER YAKIT DOLUM BORUSUNU YENİ GELİŞTİRİLMİŞ BİR PARÇA İLE ÜCRETSİZ DEĞİŞTİRECEKTİR.  GÜVENLİK GERİ ÇAĞIRMASININ 5 TEMMUZ 2010'DA VEYA ÖNCE BAŞLAMASI BEKLENİYOR. SAHİPLER 1-800-222-0037 TELEFONUNDA MITSUBISHI İLE İLETİŞİME GEÇEBİLİR.
FREIGHTLINER,"Daimler Vans USA, LLC (Daimler Vans), 1 Temmuz 2006 ile 31 Temmuz 2008 arasında üretilen belirli model yılı 2007-2009 Dodge Sprinter 2500 ve 3500 araçlarını, 1 Temmuz 2006 ile 1 Temmuz 2008 arasında üretilen 2007-2014 Freightliner Sprinter 2500 ve 3500 araçlarını geri çağırıyor. 1 Temmuz 2010 ile 1 Temmuz 2014 tarihleri arasında üretilen 2014 ve 2010-2014 Mercedes Benz Sprinter 2500 ve 3500 araçları. Sürücü ön hava yastığının açılması üzerine aşırı iç basınç, şişiricinin patlamasına neden olabilir.","Daimler Vans, Mercedes-Benz ve Freightliner sahiplerine, Fiat Chrysler ise Dodge sahiplerine bilgi verecek.  İlgili bayiler sürücü ön hava yastığı şişiricisini ücretsiz olarak değiştirecektir.  Geri çağırma 31 Mart 2017'de başladı. Mercedes-Benz ve Freightliner sahipleri 1-877-762-8267 numaralı telefondan Daimler Van'ın müşteri hizmetleriyle iletişime geçebilir.  Dodge sahipleri 1-800-853-1403 numaralı telefondan Fiat Chrysler müşteri hizmetleriyle iletişime geçebilir."
